"ID","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","street","neighbourhood_cleansed","neighbourhood_group_cleansed","city","state","zipcode","market","smart_location","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","square_feet","security_deposit","cleaning_fee","minimum_nights","calendar_updated","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","reviews_per_month"
31915,"2013-08-16","within an hour","100%","79%","f",1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","Manhattan Avenue, Brooklyn, NY 11206, United States","Williamsburg","Brooklyn","Brooklyn","NY",11206,"New York","Brooklyn, NY",40.7081523563,-73.9453543065,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$500.00","$100.00",2,"4 days ago",11,16,16,168,3,90,10,9,10,10,9,9,"f","moderate","f","f",3
31916,"2012-08-13","within a few hours","91%","100%","f",1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","W 14th St, New York, NY 10014, United States","Chelsea","Manhattan","New York","NY",10014,"New York","New York, NY",40.741812513,-74.0046027062,"t","Apartment","Entire home/apt",5,1,1,3,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$123.00",,2,"2 months ago",10,17,35,294,46,94,9,9,10,10,10,9,"t","strict","f","f",2.2
31917,"2012-08-04","within a few hours","100%","67%","f",1,"['email', 'phone', 'reviews', 'jumio']","t","t","West 51st Street, New York, NY 10019, United States","Hell's Kitchen","Manhattan","New York","NY",10019,"New York","New York, NY",40.7624653098,-73.9860926436,"t","Apartment","Entire home/apt",4,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$400.00",,7,"3 weeks ago",30,60,90,355,23,94,10,9,10,10,10,8,"f","strict","f","f",0.62
31918,"2011-07-15","within a few hours","90%","100%","f",1,"['email', 'phone', 'facebook', 'reviews']","t","f","2nd Avenue, New York, NY 10003, United States","Gramercy","Manhattan","New York","NY",10003,"New York","New York, NY",40.7342413456,-73.9840364654,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Doorman,""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,"$200.00",5,"5 weeks ago",0,0,0,233,2,100,10,10,10,10,10,10,"f","flexible","f","f",1.5
31919,"2011-06-01","within an hour","100%","94%","f",2,"['email', 'phone', 'linkedin', 'reviews', 'jumio']","t","t","W 38th St, New York, NY 10018, United States","Hell's Kitchen","Manhattan","New York","NY",10018,"New York","New York, NY",40.7550521661,-73.9918659106,"t","Apartment","Shared room",1,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating}",,"$300.00","$60.00",3,"a week ago",9,9,9,128,25,97,10,10,10,10,10,10,"f","strict","f","f",1.3
31920,"2014-01-22","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","2nd Street, Brooklyn, NY 11215, United States","Park Slope","Brooklyn","Brooklyn","NY",11215,"New York","Brooklyn, NY",40.6737570053,-73.9819469114,"t","Apartment","Private room",2,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Smoke Detector"",Essentials,Shampoo}",,"$400.00","$35.00",1,"7 months ago",0,0,0,0,0,,,,,,,,"f","flexible","f","f",
31921,"2012-11-23","within a day","100%","50%","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","W 83rd St, New York, NY 10024, United States","Upper West Side","Manhattan","New York","NY",10024,"New York","New York, NY",40.7859193455,-73.9777451852,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Carbon Monoxide Detector"",""Fire Extinguisher"",Shampoo}",850,,,1,"a week ago",8,8,14,21,12,91,10,10,10,10,10,9,"f","moderate","f","f",0.29
31922,"2014-02-02","within a day","81%","93%","f",2,"['email', 'phone', 'reviews', 'jumio']","t","t","8th Ave, New York, NY 10001, United States","Chelsea","Manhattan","New York","NY",10001,"New York","New York, NY",40.7497093389,-73.9964299715,"f","Apartment","Private room",2,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",,,"$20.00",2,"2 months ago",2,32,62,337,51,95,9,10,10,10,10,9,"f","strict","f","f",4.95
31923,"2014-06-25","within an hour","100%","71%","f",1,"['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","Ditmars Street, Brooklyn, NY 11221, United States","Bushwick","Brooklyn","Brooklyn","NY",11221,"New York","Brooklyn, NY",40.6961713344,-73.932026258,"t","Apartment","Private room",2,1,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,,1,"a week ago",0,0,8,8,0,,,,,,,,"f","flexible","f","f",
31924,"2014-04-06","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'reviews']","t","f","South Street, New York, NY 10002, United States","Lower East Side","Manhattan","New York","NY",10002,"New York","New York, NY",40.7111236252,-73.9882611497,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Gym,""Pets live on this property"",""Elevator in Building"",Heating,Washer,Dryer,""Smoke Detector""}",,,,1,"5 months ago",0,0,0,117,0,,,,,,,,"f","flexible","f","f",
31925,"2015-08-12","within an hour","100%","100%","f",1,"['email', 'phone', 'reviews']","t","f","10th Avenue, New York, NY 10019, United States","Hell's Kitchen","Manhattan","New York","NY",10019,"New York","New York, NY",40.764736497,-73.9920455253,"f","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,"$1,000.00","$100.00",4,"3 days ago",4,7,14,223,5,100,10,10,10,10,10,10,"f","flexible","f","f",0.97
31926,"2014-12-23","within a day","80%","100%","f",1,"['email', 'phone', 'reviews']","t","f","East 16th Street, New York, NY 10003, United States","Gramercy","Manhattan","New York","NY",10003,"New York","New York, NY",40.7350354531,-73.9863701726,"t","Apartment","Entire home/apt",2,2,0,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",Heating,Essentials,""24-Hour Check-in"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,,1,"3 weeks ago",0,0,0,0,3,80,7,6,10,10,10,9,"f","flexible","f","f",0.4
31927,"2014-05-16","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","East 43rd Street, New York, NY 10017, United States","Midtown","Manhattan","New York","NY",10017,"New York","New York, NY",40.7524660967,-73.9749581302,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$150.00","$65.00",2,"today",9,15,15,15,0,,,,,,,,"f","strict","f","f",
31928,"2015-04-26","within an hour","100%","100%","t",1,"['email', 'phone', 'google', 'reviews', 'manual_offline', 'jumio']","t","t","1st Avenue, New York, NY 10065, United States","Upper East Side","Manhattan","New York","NY",10065,"New York","New York, NY",40.7611096379,-73.9595880951,"t","Apartment","Entire home/apt",5,2,2,3,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$345.00","$140.00",5,"today",10,27,57,307,50,97,10,10,10,10,10,10,"f","strict","f","f",3.96
31929,"2014-10-31","within an hour","100%","100%","f",6,"['email', 'phone', 'facebook', 'reviews', 'jumio']","t","t","Vernon Avenue, Brooklyn, NY 11206, United States","Bedford-Stuyvesant","Brooklyn","Brooklyn","NY",11206,"New York","Brooklyn, NY",40.6938265008,-73.9505808013,"t","House","Private room",2,2,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,,"$15.00",1,"4 weeks ago",9,39,69,344,45,81,8,8,9,9,8,8,"t","strict","f","f",2.49
31930,"2012-10-23","within a day","50%","31%","f",1,"['email', 'phone', 'reviews', 'jumio']","t","t","Wall Street, New York, NY 10005, United States","Financial District","Manhattan","New York","NY",10005,"New York","New York, NY",40.7070662843,-74.0089204574,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",""Indoor Fireplace"",""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer""}",,"$150.00","$80.00",1,"6 weeks ago",0,29,59,334,0,,,,,,,,"f","flexible","f","f",
31931,"2012-10-09","within a day","50%","100%","f",1,"['phone', 'reviews', 'kba']","t","f","Riverside Drive, New York, NY 10025, United States","Upper West Side","Manhattan","New York","NY",10025,"New York","New York, NY",40.7943254836,-73.9743841623,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Pets live on this property"",Dog(s),""Elevator in Building"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,,1,"2 months ago",29,59,89,364,4,100,10,10,10,10,10,10,"f","flexible","f","f",0.31
31932,"2015-04-23","N/A","N/A","N/A","f",1,"['email', 'phone', 'facebook', 'kba']","t","t","West 141st Street, New York, NY 10031, United States","Harlem","Manhattan","New York","NY",10031,"New York","New York, NY",40.8239525956,-73.9502365735,"t","House","Entire home/apt",6,2.5,3,4,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo}",,"$1,000.00","$150.00",1,"3 months ago",14,17,32,32,0,,,,,,,,"f","flexible","f","f",
31933,"2014-12-08","within an hour","90%","71%","f",2,"['email', 'phone', 'reviews', 'jumio']","t","t","Avenue of the Americas, New York, NY 10014, United States","SoHo","Manhattan","New York","NY",10014,"New York","New York, NY",40.7282206492,-74.0040366572,"t","Apartment","Entire home/apt",2,1,0,1,"Futon","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$400.00","$80.00",1,"2 months ago",5,35,65,65,2,100,10,10,10,10,10,10,"f","flexible","f","f",0.77
31934,"2014-01-18","within a few hours","67%","100%","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","17th Street, Brooklyn, NY 11215, United States","Sunset Park","Brooklyn","Brooklyn","NY",11215,"New York","Brooklyn, NY",40.6629629583,-73.9895454431,"t","Apartment","Entire home/apt",7,2,3,5,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",,"$400.00","$60.00",2,"3 weeks ago",4,15,15,132,14,92,9,9,10,10,10,9,"f","moderate","f","f",0.54
31935,"2015-10-08","within a few hours","100%","100%","f",1,"['email', 'phone', 'reviews']","t","f","Vanderbilt Avenue, Brooklyn, NY 11238, United States","Prospect Heights","Brooklyn","Brooklyn","NY",11238,"New York","Brooklyn, NY",40.6806545042,-73.9682424697,"t","Apartment","Private room",1,1,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""24-Hour Check-in"",""Laptop Friendly Workspace""}",,,,1,"4 days ago",2,2,2,2,2,90,9,9,9,9,9,9,"f","flexible","f","f",0.26
31936,"2013-03-03","within a day","100%","100%","f",1,"['email', 'phone']","t","f","West 23rd Street, New York, NY 10011, United States","Chelsea","Manhattan","New York","NY",10011,"New York","New York, NY",40.7457443473,-73.9963258274,"t","Apartment","Entire home/apt",6,2.5,3,6,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Hangers,Iron}",,"$2,000.00","$200.00",2,"a week ago",1,16,22,22,0,,,,,,,,"f","moderate","f","f",
31937,"2011-10-17","within a day","100%","N/A","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","Fulton Street, New York, NY 10038, United States","Financial District","Manhattan","New York","NY",10038,"New York","New York, NY",40.709090172,-74.0057936571,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,Doorman,Gym,""Elevator in Building"",""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$1,500.00","$60.00",20,"2 weeks ago",0,0,30,222,1,100,,,,10,10,10,"f","strict","f","f",0.09
31938,"2011-10-09","within an hour","100%","100%","f",5,"['email', 'phone', 'facebook', 'reviews']","t","f","73rd St, Queens, NY 11372, United States","Jackson Heights","Queens","Queens","NY",11372,"New York","Queens, NY",40.750157989,-73.893630709,"t","House","Private room",4,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Heating,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,,"$50.00",3,"yesterday",30,60,90,365,16,92,9,8,9,9,9,9,"t","moderate","f","f",0.34
31939,"2014-11-06","N/A","N/A","N/A","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","East 87th Street, New York, NY 10128, United States","Upper East Side","Manhattan","New York","NY",10128,"New York","New York, NY",40.776383298,-73.9476012481,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,Iron}",,,,1,"7 months ago",0,0,0,0,0,,,,,,,,"f","flexible","f","f",
31940,"2013-12-02","a few days or more","41%","82%","f",1,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","Broadway, New York, NY 10040, United States","Inwood","Manhattan","New York","NY",10040,"New York","New York, NY",40.863171437,-73.9287335792,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",,"$250.00","$40.00",1,"3 weeks ago",7,7,28,46,2,90,10,8,9,10,10,9,"f","strict","f","f",0.37
31941,"2016-01-18","within a few hours","90%","100%","f",1,"['email', 'phone', 'facebook', 'jumio']","t","t","West 105th Street, New York, NY 10025, United States","Upper West Side","Manhattan","New York","NY",10025,"New York","New York, NY",40.797879102,-73.963634476,"t","Apartment","Private room",2,2,1,1,"Airbed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Smoking Allowed"",""Elevator in Building"",""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",,,"$7.00",1,"5 weeks ago",21,51,81,356,1,,,,,,,,"t","flexible","f","f",0.3
31942,"2010-10-13","within a few hours","60%","67%","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","Troutman Street, Brooklyn, NY 11206, United States","Bushwick","Brooklyn","Brooklyn","NY",11206,"New York","Brooklyn, NY",40.7011737826,-73.9292065344,"t","Apartment","Entire home/apt",6,1,2,3,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",,,,1,"a week ago",0,0,0,243,8,91,10,9,9,9,8,9,"f","flexible","f","f",0.33
31943,"2015-12-10","within a few hours","94%","100%","f",1,"['email', 'phone']","t","f","East 117th Street, New York, NY 10035, United States","East Harlem","Manhattan","New York","NY",10035,"New York","New York, NY",40.7984341928,-73.9420168584,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""24-Hour Check-in""}",,,,1,"yesterday",6,24,41,220,0,,,,,,,,"f","flexible","f","f",
31944,"2010-07-22","within an hour","100%","100%","f",1,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","34th Street, Queens, NY 11106, United States","Astoria","Queens","Queens","NY",11106,"New York","Queens, NY",40.7639371015,-73.9202150284,"t","Apartment","Private room",2,1,1,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Other pet(s)"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer"",Iron}",,,,7,"2 weeks ago",6,9,31,121,21,93,10,10,10,10,10,9,"f","strict","t","t",0.64
31945,"2011-08-04","within a day","100%","50%","f",1,"['email', 'phone', 'reviews', 'kba']","t","t","Rivington Street, New York, NY 10002, United States","Lower East Side","Manhattan","New York","NY",10002,"New York","New York, NY",40.7225931202,-73.9931097524,"t","Apartment","Entire home/apt",2,1,2,1,"Real Bed","{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,Essentials,Shampoo}",,,"$55.00",3,"4 days ago",13,32,58,243,7,92,10,10,10,10,10,10,"f","strict","f","f",0.67
31946,"2011-08-24","within a few hours","100%","88%","f",1,"['email', 'phone', 'reviews']","t","f","East 37th Street, New York, NY 10016, United States","Murray Hill","Manhattan","New York","NY",10016,"New York","New York, NY",40.7491354608,-73.9778949591,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,"$100.00","$80.00",1,"today",5,21,51,144,20,96,10,10,10,10,10,10,"f","strict","t","f",5.83
31947,"2011-08-03","within a few hours","99%","17%","f",8,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","West 48th Street, New York, NY 10036, United States","Hell's Kitchen","Manhattan","New York","NY",10036,"New York","New York, NY",40.7638505918,-73.9949744333,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",,"$250.00","$60.00",30,"a week ago",0,0,18,293,2,80,10,8,7,7,9,8,"f","moderate","f","f",0.2
31948,"2014-03-28","within a day","90%","40%","f",1,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']","t","t","Ocean Avenue, Brooklyn, NY 11226, United States","Flatbush","Brooklyn","Brooklyn","NY",11226,"New York","Brooklyn, NY",40.6528989866,-73.9615912632,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""Lock on Bedroom Door"",Hangers,Iron,""Laptop Friendly Workspace""}",,,,2,"yesterday",1,1,1,113,1,100,10,10,10,10,10,10,"f","moderate","f","f",0.52
31949,"2011-05-23","within a few hours","86%","50%","f",1,"['email', 'phone', 'reviews']","t","f","West 119th Street, New York, NY 10026, United States","Harlem","Manhattan","New York","NY",10026,"New York","New York, NY",40.8047343625,-73.9532049516,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer}",,"$300.00","$100.00",8,"2 weeks ago",30,60,90,365,7,97,10,9,10,9,9,10,"f","strict","t","t",0.12
31950,"2015-01-28","N/A","N/A","N/A","f",1,"['phone', 'facebook', 'reviews']","t","f","East 9th Street, New York, NY 10009, United States","East Village","Manhattan","New York","NY",10009,"New York","New York, NY",40.7283460696,-73.9841286607,"f","Apartment","Private room",2,1,1,1,"Real Bed","{""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,,"$40.00",1,"4 months ago",0,0,0,0,1,100,10,8,10,10,10,10,"f","flexible","f","f",0.45
31951,"2014-07-13","a few days or more","30%","78%","f",2,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']","t","t","West 109th Street, New York, NY 10025, United States","Upper West Side","Manhattan","New York","NY",10025,"New York","New York, NY",40.8009735601,-73.9641344292,"t","Apartment","Private room",2,2,1,1,"Real Bed","{Internet,""Wireless Internet"",""Pets Allowed"",""Pets live on this property"",Dog(s),Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Laptop Friendly Workspace""}",,,"$10.00",1,"5 days ago",0,0,0,0,13,89,8,8,9,10,10,9,"f","flexible","f","f",1.36
31952,"2012-06-27","within a few hours","90%","88%","f",2,"['email', 'phone', 'facebook', 'reviews', 'kba']","t","t","East 2nd Street, New York, NY 10009, United States","East Village","Manhattan","New York","NY",10009,"New York","New York, NY",40.7214180141,-73.9794352353,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","{TV,Internet,""Air Conditioning"",Kitchen,Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",,"$100.00","$60.00",6,"today",8,28,28,149,24,93,9,9,9,9,9,9,"t","strict","f","f",1.32
31953,"2010-03-14","within an hour","100%","94%","f",1,"['phone', 'reviews', 'jumio']","t","f","Mott Street, New York, NY 10012, United States","Chinatown","Manhattan","New York","NY",10012,"New York","New York, NY",40.718477021,-73.9954937015,"t","Apartment","Private room",2,1,1,1,"Real Bed","{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",Essentials,Shampoo}",,,"$5.00",2,"today",3,6,6,158,41,93,10,10,10,10,9,9,"f","flexible","f","f",2.72
31954,"2011-09-17","within an hour","98%","100%","f",6,"['email', 'phone', 'reviews', 'jumio']","t","t","41st Street, Queens, NY 11105, United States","Ditmars Steinway","Queens","Queens","NY",11105,"New York","Queens, NY",40.7692131776,-73.9083148091,"t","House","Private room",1,1,1,1,"Real Bed","{""Wireless Internet"",""Lock on Bedroom Door"",""24-Hour Check-in""}",,,"$35.00",1,"2 weeks ago",14,44,74,349,42,84,9,9,9,9,9,9,"f","flexible","f","f",1.63
31955,"2015-07-17","within a few hours","100%","67%","t",1,"['email', 'phone', 'google', 'linkedin', 'reviews', 'kba']","t","t","West 23rd Street, New York, NY 10010, United States","Flatiron District","Manhattan","New York","NY",10010,"New York","New York, NY",40.7428293635,-73.9928210583,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",,"$200.00","$65.00",1,"yesterday",2,4,4,4,10,98,10,10,10,10,10,10,"f","flexible","f","f",0.98
31956,"2015-09-15","within an hour","100%","N/A","f",1,"['email', 'phone']","t","f",", New York, NY 10032, United States","Washington Heights","Manhattan","New York","NY",10032,"New York","New York, NY",40.8348479831,-73.9416257413,"t","Apartment","Private room",1,1,1,1,"Real Bed","{Internet,""Wireless Internet"",Kitchen,Gym,""Buzzer/Wireless Intercom"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",,,"$15.00",1,"today",24,54,84,359,0,,,,,,,,"f","flexible","f","f",
